,电影名称,电影类型,导演,主演,评分,口碑,评论人数,简介,图片
0,战狼2,动作/战争,吴京,吴京/弗兰克·格里罗/吴刚/张翰/卢靖姗/丁海峰/淳于珊珊/余男/于谦/石兆琪/海蒂·莫尼梅克/奥列格·普鲁迪乌斯/艾伦·托尼/赛尔·哈里斯/高明/王森/苇青/程愫/张永达/郭秋成/杜建桥/周冠廷/安·詹姆斯/黛安娜·希拉/孙率航/张馨月/关海龙/安妮塔·斯图尔特/特雷弗·琼斯/奥斯汀·普里斯特/克莱·方特诺特/保罗·艾力卡/丹尼尔·哈格里夫/李镇男/庄小龙/陈云志/肯尼迪,7.1,19.9 /34.0 /31.6 /9.0 /5.6 ,788459,"
                                　　由于一怒杀害了强拆牺牲战友房子的恶霸，屡立功勋的冷锋（吴京 饰）受到军事法庭的判决。在押期间，亲密爱人龙小云壮烈牺牲。出狱后，冷锋辗转来到非洲，他辗转各地，只为寻找杀害小云的凶手。在此期间，冷锋逗留的国家发生叛乱，叛徒红巾军大开杀戒，血流成河。中国派出海军执行撤侨任务，期间冷锋得知有一位陈博士被困在五十五公里外的医院，而叛军则试图抓住这位博士。而从另一位华侨（于谦 饰）口中得知，杀害小云的凶手正待在这个国家。
                                    
                                　　在无法得到海军支援的情况下，冷锋只身闯入硝烟四起的战场。不屈不挠的战狼，与冷酷无情的敌人展开悬殊之战……
                        ",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2494701965.jpg
1,战狼2,动作/战争,吴京,吴京/弗兰克·格里罗/吴刚/张翰/卢靖姗/丁海峰/淳于珊珊/余男/于谦/石兆琪/海蒂·莫尼梅克/奥列格·普鲁迪乌斯/艾伦·托尼/赛尔·哈里斯/高明/王森/苇青/程愫/张永达/郭秋成/杜建桥/周冠廷/安·詹姆斯/黛安娜·希拉/孙率航/张馨月/关海龙/安妮塔·斯图尔特/特雷弗·琼斯/奥斯汀·普里斯特/克莱·方特诺特/保罗·艾力卡/丹尼尔·哈格里夫/李镇男/庄小龙/陈云志/肯尼迪,7.1,19.9 /34.0 /31.6 /9.0 /5.6 ,788459,"
                                　　由于一怒杀害了强拆牺牲战友房子的恶霸，屡立功勋的冷锋（吴京 饰）受到军事法庭的判决。在押期间，亲密爱人龙小云壮烈牺牲。出狱后，冷锋辗转来到非洲，他辗转各地，只为寻找杀害小云的凶手。在此期间，冷锋逗留的国家发生叛乱，叛徒红巾军大开杀戒，血流成河。中国派出海军执行撤侨任务，期间冷锋得知有一位陈博士被困在五十五公里外的医院，而叛军则试图抓住这位博士。而从另一位华侨（于谦 饰）口中得知，杀害小云的凶手正待在这个国家。
                                    
                                　　在无法得到海军支援的情况下，冷锋只身闯入硝烟四起的战场。不屈不挠的战狼，与冷酷无情的敌人展开悬殊之战……
                        ",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2494701965.jpg
2,哪吒之魔童降世,剧情/喜剧/动画/奇幻,饺子,吕艳婷/囧森瑟夫/瀚墨/陈浩/绿绮/张珈铭/杨卫,8.4,43.0 /39.4 /14.8 /2.1 /0.7 ,1605222,"
                                　　天地灵气孕育出一颗能量巨大的混元珠，元始天尊将混元珠提炼成灵珠和魔丸，灵珠投胎为人，助周伐纣时可堪大用；而魔丸则会诞出魔王，为祸人间。元始天尊启动了天劫咒语，3年后天雷将会降临，摧毁魔丸。太乙受命将灵珠托生于陈塘关李靖家的儿子哪吒身上。然而阴差阳错，灵珠和魔丸竟然被掉包。本应是灵珠英雄的哪吒却成了混世大魔王。调皮捣蛋顽劣不堪的哪吒却徒有一颗做英雄的心。然而面对众人对魔丸的误解和即将来临的天雷的降临，哪吒是否命中注定会立地成魔？他将何去何从？
                        ",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2563780504.jpg
3,流浪地球,科幻/冒险/灾难,郭帆,屈楚萧/吴京/李光洁/吴孟达/赵今麦/隋凯/屈菁菁/张亦驰/杨皓宇/阿尔卡基·沙罗格拉茨基/李虹辰/杨轶/姜志刚/张欢/雷佳音/宁浩/刘慈欣/郭京飞/王智/张子贤/路阳/张宁/张小北/饶晓志/陶珞依/吴晓亮/龚格尔/郭帆,7.9,32.2 /38.3 /22.4 /4.7 /2.3 ,1664025,"
                                　　近未来，科学家们发现太阳急速衰老膨胀，短时间内包括地球在内的整个太阳系都将被太阳所吞没。为了自救，人类提出一个名为“流浪地球”的大胆计划，即倾全球之力在地球表面建造上万座发动机和转向发动机，推动地球离开太阳系，用2500年的时间奔往另外一个栖息之地。中国航天员刘培强（吴京 饰）在儿子刘启四岁那年前往国际空间站，和国际同侪肩负起领航者的重任。转眼刘启（屈楚萧 饰）长大，他带着妹妹朵朵（赵今麦 饰）偷偷跑到地表，偷开外公韩子昂（吴孟达 饰）的运输车，结果不仅遭到逮捕，还遭遇了全球发动机停摆的事件。为了修好发动机，阻止地球坠入木星，全球开始展开饱和式营救，连刘启他们的车也被强征加入。在与时间赛跑的过程中，无数的人前仆后继，奋不顾身，只为延续百代子孙生存的希望……
                                    
                                　　本片根据刘慈欣的同名小说改编。
                        ",https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2545472803.jpg
4,复仇者联盟4：终局之战 Avengers: Endgame,剧情/动作/科幻/奇幻/冒险,安东尼·罗素,小罗伯特·唐尼/克里斯·埃文斯/马克·鲁弗洛/克里斯·海姆斯沃斯/乔什·布洛林/保罗·路德/凯伦·吉兰/杰瑞米·雷纳/斯嘉丽·约翰逊/唐·钱德尔/布丽·拉尔森/布莱德利·库珀/泰莎·汤普森/汤姆·赫兰德/伊丽莎白·奥尔森/本尼迪克特·康伯巴奇/蒂尔达·斯文顿/格温妮斯·帕特洛/蕾妮·罗素/约翰·斯拉特里/查德维克·博斯曼/安东尼·麦凯/塞巴斯蒂安·斯坦/克里斯·帕拉特/汤姆·希德勒斯顿/佐伊·索尔达娜/丹娜·奎里拉/本尼迪克特·王/庞·克莱门捷夫/戴夫·巴蒂斯塔/利蒂希娅·赖特/伊万杰琳·莉莉/乔恩·费儒/海莉·阿特维尔/娜塔莉·波特曼/玛丽莎·托梅/塔伊加·维迪提/安吉拉·贝塞特/迈克尔·道格拉斯/米歇尔·菲佛/威廉·赫特/寇碧·史莫德斯/肖恩·古恩/温斯顿·杜克/琳达·卡德里尼/马克斯米利亚诺·赫尔南德斯/弗兰克·格里罗/真田广之/汤姆-沃恩-劳勒/詹姆斯·达西/雅各布·巴特朗/范·迪塞尔/罗伯特·雷德福/塞缪尔·杰克逊/伊薇特·尼科尔·布朗/卡梅伦·布鲁姆布罗/蒂莫西·卡尔/凯瑞·康顿/迈克尔·A·库克/凯莉·库恩/艾玛·福尔曼/雷纳·加拉赫/丹妮拉·加斯基/郑肯/小弗洛伊德·安东尼·约翰/斯坦·李/罗斯·马昆德/布伦特·麦吉/迈克尔·皮耶里诺·米勒/卡兰·马尔韦/泰瑞·诺塔里/吉米·雷·皮肯斯/迈克尔·詹姆斯·肖/泰·辛普金斯/格雷格·蒂芬,8.5,46.4 /35.5 /15.4 /1.9 /0.8 ,935231,"
                                　　一声响指，宇宙间半数生命灰飞烟灭。几近绝望的复仇者们在惊奇队长（布丽·拉尔森 Brie Larson 饰）的帮助下找到灭霸（乔什·布洛林 Josh Brolin 饰）归隐之处，却得知六颗无限宝石均被销毁，希望彻底破灭。如是过了五年，迷失在量子领域的蚁人（保罗·路德 Paul Rudd 饰）意外回到现实世界，他的出现为幸存的复仇者们点燃了希望。与美国队长（克里斯·埃文斯 Chris Evans 饰）冰释前嫌的托尼（小罗伯特·唐尼 Robert Downey Jr. 饰）找到了穿越时空的方法，星散各地的超级英雄再度集结，他们分别穿越不同的时代去搜集无限宝石。而在这一过程中，平行宇宙的灭霸察觉了他们的计划。
                                    
                                　　注定要载入史册的最终决战，超级英雄们为了心中恪守的信念前仆后继……
                        ",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2552058346.jpg
5,红海行动,动作/战争,林超贤,张译/黄景瑜/海清/杜江/蒋璐霞/尹昉/王强/郭家豪/王雨甜/麦亨利/张涵予/王彦霖,8.3,37.3 /42.6 /16.8 /2.4 /0.9 ,894459,"
                                　　中东国家伊维亚共和国发生政变，武装冲突不断升级。刚刚在索马里执行完解救人质任务的海军护卫舰临沂号，受命前往伊维亚执行撤侨任务。舰长高云（张涵予 饰）派出杨锐（张译 饰）率领的蛟龙突击队登陆战区，护送华侨安全撤离。谁知恐怖组织扎卡却将撤侨部队逼入交火区，一场激烈的战斗在所难免。与此同时，法籍华人记者夏楠（海清 饰）正在伊维亚追查威廉·柏森博士贩卖核原料的事实，而扎卡则突袭柏森博士所在的公司，意图抢走核原料。混战中，一名隶属柏森博士公司的中国员工成为人质。为了解救该人质，八名蛟龙队员必须潜入有150名恐怖分子的聚集点，他们用自己的信念和鲜血铸成中国军人顽强不屈的丰碑！
                                    
                                　　本片根据也门撤侨事件改编。
                        ",https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2514119443.jpg
6,唐人街探案2,喜剧/动作/悬疑,陈思诚,王宝强/刘昊然/肖央/刘承羽/尚语贤/王迅/妻夫木聪/迈克尔·皮特/白灵/元华/曾江/王成思/杨金赐/范湉湉/佟丽娅/陈思诚,6.6,8.2 /32.8 /44.9 /10.9 /3.1 ,797343,"
                                　　唐仁（王宝强 饰）为巨额奖金欺骗秦风（刘昊然 饰）到纽约参加世界名侦探大赛，然而随着和世界各国侦探们啼笑皆非的较量，两人却发现了隐藏在这次挑战背后的更大秘密...
                        ",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2512717519.jpg
7,美人鱼,喜剧/爱情/奇幻,周星驰,邓超/罗志祥/张雨绮/林允/徐克/吴亦凡/李尚正/卢正雨/白客/孔连顺/田启文/文章/杨能/张美娥/李叶青/林子聪/赵志凌/郑冀峰/钱国伟/范淑珍/艾文·科蒂克/松冈李那/徐轸轸/夏尉喻/皮埃尔·布迪厄/孙嘉灵/许雅婷/赵靖伊/付骏福/虞嘉娜/宁小花/易志乐/孙乐天,6.7,12.7 /29.0 /42.3 /12.1 /4.0 ,705190,"
                                　　白手起家的富豪刘轩（邓超 饰）新拍下了一块地皮，并联合了女强人李若兰（张雨绮 饰）使用恐怖的声纳技术驱赶鱼类，用于填海造地。人鱼一族长期居住在附近区域的海里，为了继续生存，带头大哥章鱼八哥（罗志祥 饰）派出了美人鱼珊珊（林允 饰）“色诱”刘轩，准备刺杀。没想到珊珊在卧底过程中与刘轩暗生情愫，一次次破坏暗杀计划，而李若兰却在准备一个更丧心病狂的邪恶计划……
                        ",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2316177058.jpg
8,我和我的祖国,剧情,陈凯歌,黄渤/张译/韩昊霖/杜江/葛优/刘昊然/宋佳/王千源/任素汐/吴京/朱一龙/王东/陈飞宇/佟丽娅/欧豪/张嘉益/惠英红/龚蓓苾/田壮壮/韩东君/辛柏青/周冬雨/任达华/江珊/王砚辉/耿乐/姜武/梁静/佟大为/魏晨/胡军/王天辰/彭昱畅/罗海琼/郭丞/周依然/樊雨洁/刘涛/马伊琍/张建亚/徐峥/王洛勇/高亚麟/王道铁/程禹森/马书良/景海鹏/陈冬/雷佳音/张子枫/陶虹/郭京飞/袁文康/贾晨飞/邵汶/张芝华/段博文/郎平,7.7,22.0 /46.3 /27.6 /3.2 /0.9 ,865628,"
                                　　七位导演分别取材新中国成立70周年以来，祖国经历的无数个历史性经典瞬间。讲述普通人与国家之间息息相关密不可分的动人故事。聚焦大时代大事件下，小人物和国家之间，看似遥远实则密切的关联，唤醒全球华人共同回忆。
                        ",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567998580.jpg
9,八佰,剧情/历史/战争,管虎,王千源/张译/姜武/黄志忠/张俊一/欧豪/杜淳/魏晨/张宥浩/唐艺昕/李九霄/李晨/梁静/侯勇/辛柏青/俞灏明/刘晓庆/姚晨/郑恺/余皑磊/黄晓明/徐嘉雯/张承/马精武/胡晓光/陆思宇/白恩/曹璐/刘云龙/杨嘉华/中泉英雄/高爽/郑伟/高冬平/黄米依/曹卫宇/宋洋/徐乐同/徐幸,7.6,20.5 /45.8 /28.3 /3.9 /1.5 ,668088,"
                                　　1937年淞沪会战的最后一役，“八百壮士”奉命坚守上海四行仓库，以少敌多顽强抵抗四天四夜。电影《八佰》由管虎导演，是亚洲首部全片使用IMAX摄影机拍摄的商业电影，将于2020年8月21日全国影院上映。
                        ",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2615992304.jpg
