"",电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代
0,肖申克的救赎 The Shawshank Redemption,犯罪 / 剧情,弗兰克·德拉邦特,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿,2287002,9.7,美国,20世纪90年代
1,霸王别姬,剧情 / 爱情 / 同性,陈凯歌,张国荣 / 张丰毅 / 巩俐,1696629,9.6,中国大陆/中国香港,20世纪90年代
2,控方证人 Witness for the Prosecution,剧情 / 犯罪 / 悬疑,比利·怀德,泰隆·鲍华 / 玛琳·黛德丽 / 查尔斯·劳顿,349205,9.6,美国,20世纪50年代
3,阿甘正传 Forrest Gump,剧情 / 爱情,罗伯特·泽米吉斯,汤姆·汉克斯 / 罗宾·怀特 / 加里·西尼斯,1720186,9.5,美国,20世纪90年代
4,美丽人生 La vita è bella,剧情 / 喜剧 / 爱情 / 战争,罗伯托·贝尼尼,罗伯托·贝尼尼 / 尼可莱塔·布拉斯基 / 乔治·坎塔里尼,1061862,9.5,意大利,20世纪90年代
5,辛德勒的名单 Schindler's List,剧情 / 历史 / 战争,史蒂文·斯皮尔伯格,连姆·尼森 / 本·金斯利 / 拉尔夫·费因斯,877859,9.5,美国,20世纪90年代
6,这个杀手不太冷 Léon,剧情 / 动作 / 犯罪,吕克·贝松,让·雷诺 / 娜塔莉·波特曼 / 加里·奥德曼,1901732,9.4,法国/美国,20世纪90年代
7,十二怒汉 12 Angry Men,剧情,西德尼·吕美特,亨利·方达 / 马丁·鲍尔萨姆 / 约翰·菲德勒,367151,9.4,美国,20世纪50年代
8,灿烂人生 La meglio gioventù,剧情 / 爱情 / 家庭,马可·图利奥·吉奥达纳,路易吉·洛·卡肖 / 阿莱西奥·博尼 / 索尼娅·贝加马斯科,49440,9.4,意大利,21世纪00年代
9,盗梦空间 Inception,剧情 / 科幻 / 悬疑 / 冒险,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥 / 约瑟夫·高登-莱维特 / 艾利奥特·佩吉,1667588,9.3,美国/英国,21世纪10年代
10,教父 The Godfather,剧情 / 犯罪,弗朗西斯·福特·科波拉,马龙·白兰度 / 阿尔·帕西诺 / 詹姆斯·肯恩,746647,9.3,美国,20世纪70年代
11,乱世佳人 Gone with the Wind,剧情 / 历史 / 爱情 / 战争,维克多·弗莱明 / 乔治·库克 / 山姆·伍德,费雯·丽 / 克拉克·盖博 / 奥利维娅·德哈维兰,548983,9.3,美国,20世纪30年代
12,城市之光 City Lights,喜剧 / 剧情 / 爱情,查理·卓别林,查理·卓别林 / 弗吉尼亚·切瑞尔 / 佛罗伦斯·李,105683,9.3,美国,20世纪30年代
13,末代皇帝 The Last Emperor,剧情 / 传记 / 历史,贝纳尔多·贝托鲁奇,尊龙 / 陈冲 / 邬君梅,630007,9.3,英国/意大利/中国大陆/法国,20世纪80年代
14,地下 Подземље,剧情 / 战争,埃米尔·库斯图里卡,米基·马诺伊洛维奇 / 拉扎尔·里斯托夫斯基 / 米里亚娜·约科维奇,43722,9.2,南斯拉夫/法国/德国/保加利亚/捷克/匈牙利/英国/美国,20世纪90年代
