"",电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代
0,亲爱的同志 Дорогие товарищи,剧情 / 历史,安德烈·康查洛夫斯基,朱莉娅·维斯托斯卡亚 / 弗拉迪斯拉夫·科马罗夫 / Andrey Gusev,987,8.3,俄罗斯,21世纪20年代
1,壁花少年 The Perks of Being a Wallflower,剧情 / 爱情,斯蒂芬·卓博斯基,罗根·勒曼 / 艾玛·沃森 / 埃兹拉·米勒,174728,8.0,美国,21世纪10年代
2,秘密特工 The Man from U.N.C.L.E.,喜剧 / 动作 / 冒险,盖·里奇,亨利·卡维尔 / 艾米·汉莫 / 艾丽西亚·维坎德,129674,8.1,美国/英国,21世纪10年代
3,我是谁：没有绝对安全的系统 Who Am I - Kein System ist sicher,犯罪 / 悬疑 / 惊悚,巴伦·博·欧达尔,汤姆·希林 / 埃利亚斯·穆巴里克 / 沃坦·维尔克·默林,169149,8.2,德国,21世纪10年代
4,无间道3：终极无间 無間道III 終極無間,动作 / 犯罪 / 剧情 / 惊悚,刘伟强 / 麦兆辉,梁朝伟 / 刘德华 / 黎明,256323,8.1,中国大陆/中国香港,21世纪00年代
5,刀,剧情 / 动作 / 武侠,徐克,赵文卓 / 熊欣欣 / 桑妮,32691,8.1,中国大陆/中国香港,20世纪90年代
6,小妇人 Little Women,剧情 / 爱情,格蕾塔·葛韦格,西尔莎·罗南 / 艾玛·沃森 / 弗洛伦丝·皮尤,339247,8.1,美国,21世纪10年代
7,碟中谍6：全面瓦解 Mission: Impossible - Fallout,动作 / 惊悚 / 冒险,克里斯托弗·麦奎里,汤姆·克鲁斯 / 亨利·卡维尔 / 文·瑞姆斯,455106,8.1,美国/中国大陆/法国/挪威,21世纪10年代
8,碟中谍 Mission: Impossible,动作 / 冒险 / 惊悚,布莱恩·德·帕尔玛,汤姆·克鲁斯 / 强·沃特 / 艾曼纽·贝阿,216478,8.2,美国,20世纪90年代
9,狼少年 늑대소년,爱情 / 奇幻,赵圣熙,宋仲基 / 朴宝英 / 柳演锡,200293,8.0,韩国,21世纪10年代
10,滚烫的爱 湯を沸かすほどの熱い愛,剧情 / 家庭,中野量太,宫泽理惠 / 杉咲花 / 小田切让,16115,8.0,日本,21世纪10年代
11,贵妇失踪记 The Lady Vanishes,喜剧 / 悬疑 / 惊悚,阿尔弗雷德·希区柯克,玛格丽特·洛克伍德 / 迈克尔·雷德格瑞夫 / 保罗·卢卡斯,17496,8.0,英国,20世纪30年代
12,绿光 Le rayon vert,剧情 / 爱情,埃里克·侯麦,玛丽·里维埃 / Amira Chemakhi / Sylvie Richez,20836,8.1,法国,20世纪80年代
13,马丁·伊登 Martin Eden,剧情,皮耶特罗·马切罗,卢卡·马里内利 / 杰西卡·塞西 / 文森佐·内莫拉托,10959,8.0,意大利/法国/德国,21世纪10年代
14,金陵十三钗,剧情 / 历史 / 战争,张艺谋,克里斯蒂安·贝尔 / 倪妮 / 张歆怡,549247,8.2,中国大陆/中国香港,21世纪10年代
15,初恋这首情歌 Sing Street,剧情 / 爱情 / 音乐,约翰·卡尼,福迪亚·瓦尔什-匹罗 / 露西·宝通 / 杰克·莱诺,95850,8.2,爱尔兰/英国/美国,21世纪10年代
16,利刃出鞘 Knives Out,剧情 / 喜剧 / 犯罪 / 悬疑,莱恩·约翰逊,丹尼尔·克雷格 / 安娜·德·阿玛斯 / 克里斯·埃文斯,630668,8.2,美国,21世纪10年代
17,"男孩与鹈鹕 Nicostratos, le Pélican",喜剧,Olivier Horlait,弗朗索瓦-格扎维埃·德梅松 / 埃米尔·库斯图里卡,6274,8.1,法国,21世纪10年代
18,天涯海角,剧情 / 爱情,李志毅,金城武 / 陈慧琳 / 王敏德,8148,8.0,中国香港,20世纪90年代
19,黑暗面 La cara oculta,剧情 / 悬疑 / 惊悚,安德烈斯·拜斯,基姆·古铁雷斯 / 克拉拉·拉戈 / 玛蒂娜·加西亚,167569,8.2,哥伦比亚/西班牙,21世纪10年代
20,"诺斯费拉图 Nosferatu, eine Symphonie des Grauens",奇幻 / 恐怖,F·W·茂瑙,马科斯·夏瑞克 / 约翰·戈托特 / 格里塔·斯楚瑞德,11001,8.2,德国,20世纪20年代
21,买凶拍人 買兇拍人,犯罪 / 动作 / 喜剧,彭浩翔,葛民辉 / 张达明 / 詹瑞文,124623,8.2,中国香港,21世纪00年代
22,闪电奇迹 Powder,剧情 / 悬疑 / 奇幻,维克多·萨尔瓦,玛丽·斯汀伯根 / 肖恩·派特里克·弗兰纳里 / 兰斯·亨利克森,8655,8.1,美国,20世纪90年代
23,爱情是狗娘 Amores perros,剧情 / 惊悚,亚历杭德罗·冈萨雷斯·伊纳里图,盖尔·加西亚·贝纳尔 / Emilio Echevarría / Álvaro Guerrero,44331,8.2,墨西哥,21世纪00年代
24,逆光飞翔 逆光飛翔,剧情 / 爱情,张荣吉,张榕容 / 黄裕翔 / 李烈,86782,8.2,中国台湾,21世纪10年代
25,艾德·伍德 Ed Wood,传记 / 喜剧 / 剧情,蒂姆·波顿,约翰尼·德普 / 莎拉·杰茜卡·帕克 / 比尔·默瑞,23989,8.2,美国,20世纪90年代
26,地道战,战争,任旭东,朱龙广 / 张勇手 / 刘秀杰,55726,8.2,中国大陆,20世纪60年代
27,怒火青春 La haine,犯罪 / 剧情,马修·卡索维茨,文森特·卡索 / 哈勃·孔黛 / 萨伊德·塔格马奥,13517,8.2,法国,20世纪90年代
28,那些年，我们一起追的女孩 那些年，我們一起追的女孩,剧情 / 喜剧 / 爱情,九把刀,柯震东 / 陈妍希 / 敖犬,766506,8.1,中国台湾,21世纪10年代
29,神秘列车 Mystery Train,喜剧 / 犯罪 / 剧情,吉姆·贾木许,永濑正敏 / 工藤夕贵 / 茱迪·马克尔,11358,8.2,日本/美国,20世纪80年代
30,亚特兰蒂斯之心 Hearts in Atlantis,剧情 / 悬疑,斯科特·希克斯,安东尼·霍普金斯 / 安东·叶利钦 / 霍普·戴维斯,7746,8.1,美国/澳大利亚,21世纪00年代
31,眼镜 めがね,喜剧 / 剧情,荻上直子,小林聪美 / 加濑亮 / 市川实日子,8946,8.1,日本,21世纪00年代
32,半斤八两 半斤八兩,喜剧,许冠文,许冠文 / 许冠杰 / 许冠英,20669,8.2,中国香港,20世纪70年代
33,杀手没有假期 In Bruges,剧情 / 喜剧 / 犯罪,马丁·麦克唐纳,科林·法瑞尔 / 布莱丹·格里森 / 克蕾曼丝·波西,119763,8.1,英国/美国,21世纪00年代
34,葬礼上的死亡 Death at a Funeral,喜剧,弗兰克·奥兹,马修·麦克费登 / 凯莉·霍威 / 安迪·尼曼,67736,8.1,英国/美国/德国/荷兰,21世纪00年代
35,X战警：第一战 X-Men: First Class,动作 / 剧情 / 科幻,马修·沃恩,詹姆斯·麦卡沃伊 / 迈克尔·法斯宾德 / 凯文·贝肯,299728,8.2,美国/英国,21世纪10年代
36,姐姐的守护者 My Sister's Keeper,剧情 / 家庭,尼克·卡萨维蒂,卡梅隆·迪亚兹 / 阿比盖尔·布雷斯林 / 苏菲亚·威希涅瓦,55646,8.2,美国,21世纪00年代
37,木兰花 Magnolia,剧情,保罗·托马斯·安德森,朱丽安·摩尔 / 威廉姆·H·梅西 / 约翰·C·赖利,25649,8.2,美国,20世纪90年代
38,破浪 Breaking the Waves,剧情 / 爱情,拉斯·冯·提尔,艾米丽·沃森 / 斯特兰·斯卡斯加德 / 凯特琳·卡特利吉,13612,8.1,丹麦/瑞典/法国/荷兰/挪威/冰岛/西班牙/英国,20世纪90年代
39,离魂异客 Dead Man,剧情 / 奇幻 / 西部,吉姆·贾木许,约翰尼·德普 / 加利·法梅尔 / 克里斯平·格洛弗,17910,8.1,美国/德国/日本,20世纪90年代
40,魂断威尼斯 Morte a Venezia,剧情 / 同性,卢基诺·维斯康蒂,德克·博加德 / 罗慕洛·瓦利 / 马克·伯恩斯,21277,8.2,意大利/法国,20世纪70年代
41,阿黛尔·雨果的故事 L'histoire d'Adèle H.,传记 / 剧情 / 历史,弗朗索瓦·特吕弗,伊莎贝尔·阿佳妮 / 布鲁斯·罗宾逊 / Sylvia Marriott,15785,8.0,法国,20世纪70年代
42,罗拉快跑 Lola rennt,动作 / 犯罪 / 惊悚,汤姆·提克威,弗朗卡·波滕特 / 莫里兹·布雷多 / 赫伯特·克瑙普,204349,8.1,德国,20世纪90年代
43,巴顿·芬克 Barton Fink,剧情 / 喜剧 / 惊悚,乔尔·科恩 / 伊桑·科恩,约翰·特托罗 / 约翰·古德曼 / 朱迪·戴维斯,28779,8.1,美国/英国,20世纪90年代
44,情定日落桥 A Little Romance,喜剧 / 爱情,乔治·罗伊·希尔,戴安·琳恩 / 劳伦斯·奥利弗 / 特罗尼亚斯·伯纳德,8034,8.2,法国/美国,20世纪70年代
45,茶之味 茶の味,喜剧 / 剧情,石井克人,浅野忠信 / 坂野真弥 / 佐藤贵广,5679,8.2,日本,21世纪00年代
46,小小的白色谎言 Les petits mouchoirs,喜剧 / 剧情,吉约姆·卡内,玛丽昂·歌迪亚 / 伯努瓦·马吉梅尔 / 弗朗索瓦·克鲁塞,14701,8.2,法国,21世纪10年代
