"",电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代
0,罪恶之城 Sin City,动作 / 犯罪 / 惊悚,弗兰克·米勒 / 罗伯特·罗德里格兹 / 昆汀·塔伦蒂诺,杰西卡·阿尔芭 / 布鲁斯·威利斯 / 克莱夫·欧文,173391,8.4,美国,21世纪00年代
1,扒手 Pickpocket,剧情 / 犯罪,罗伯特·布列松,马丁·拉萨尔 / 玛莉卡·格林 / Jean Pélégri,14258,8.3,法国,20世纪50年代
2,迫在眉梢 John Q,剧情 / 惊悚 / 家庭 / 犯罪,尼克·卡萨维蒂,丹泽尔·华盛顿 / Gabriela Oltean / 金伯莉·伊丽丝,39928,8.5,美国,21世纪00年代
3,危情十日 Misery,剧情 / 犯罪 / 惊悚,罗伯·莱纳,詹姆斯·肯恩 / 凯西·贝茨 / 理查德·法恩斯沃斯,51697,8.4,美国,20世纪90年代
4,冥王星早餐 Breakfast on Pluto,喜剧 / 剧情,尼尔·乔丹,基里安·墨菲 / 摩根·琼斯 / 伊娃·柏西斯托,11724,8.3,爱尔兰/英国,21世纪00年代
5,桃姐,剧情 / 家庭,许鞍华,叶德娴 / 刘德华 / 秦海璐,272386,8.3,中国香港,21世纪10年代
6,英伦性丑闻 A Very British Sex Scandal,剧情 / 同性,Patrick Reams,尼古拉斯·勒·普雷沃斯特 / 哈莉特·伊斯特科特 / 萨姆·修汉,2487,8.5,英国,21世纪00年代
7,虎兄虎弟 Deux frères,剧情 / 冒险,让-雅克·阿诺,盖·皮尔斯 / 让-克洛德·德雷菲斯 / 弗莱迪·海默,23881,8.6,法国/英国,21世纪00年代
8,登堂入室 Dans la maison,剧情 / 悬疑,弗朗索瓦·欧容,法布莱斯·鲁奇尼 / 恩斯特·吴默埃 / 克里斯汀·斯科特·托马斯,121768,8.5,法国,21世纪10年代
9,爱在暹罗 รักแห่งสยาม,剧情 / 爱情 / 同性,楚克·萨克瑞科,维特维斯特·海伦亚沃恩酷 / 马里奥·毛瑞尔 / 赖拉·邦雅淑,276681,8.3,泰国,21世纪00年代
10,美食家 L'aile ou la cuisse,喜剧,克洛德·齐迪,路易·德·菲奈斯 / 科鲁彻 / 克洛德·让萨克,8116,8.3,法国,20世纪70年代
11,缺席的人 The Man Who Wasn't There,剧情 / 犯罪,乔尔·科恩,比利·鲍伯·松顿 / 弗兰西斯·麦克多蒙德 / 迈克尔·巴达鲁科,21068,8.3,美国/英国,21世纪00年代
12,海蒂 Heidi,家庭 / 剧情,艾伦·德万,秀兰·邓波儿 / 琪恩·汉旭特 / 阿瑟·特雷彻,6209,8.5,美国,20世纪30年代
13,不可饶恕 Unforgiven,剧情 / 西部,克林特·伊斯特伍德,克林特·伊斯特伍德 / 吉恩·哈克曼 / 摩根·弗里曼,56281,8.5,美国,20世纪90年代
14,摔角王 The Wrestler,剧情 / 传记 / 运动,达伦·阿伦诺夫斯基,米基·洛克 / 玛丽莎·托梅 / 埃文·蕾切尔·伍德,39369,8.3,美国/法国,21世纪00年代
15,换子疑云 Changeling,剧情 / 悬疑 / 惊悚,克林特·伊斯特伍德,安吉丽娜·朱莉 / 盖特林·格里菲斯 / 米歇尔·冈,141217,8.4,美国,21世纪00年代
16,细路祥 細路祥,剧情,陈果,姚月明 / 麦惠芬 / 麦雪雯,13260,8.5,中国香港,20世纪90年代
17,"巴黎，我爱你 Paris, je t'aime",剧情 / 喜剧 / 爱情,奥利维耶·阿萨亚斯 / 伊桑·科恩 / 乔尔·科恩 / 格斯·范·桑特 / 汤姆·提克威 / 沃尔特·塞勒斯 / 亚历山大·佩恩 / 杜可风 / 热拉尔·德帕迪约 / 阿方索·卡隆 / 诹访敦彦 / 希尔万·肖默 / 韦斯·克雷文 / 伊莎贝尔·科赛特 / 顾伦德·查达哈 / 文森佐·纳塔利,朱丽叶·比诺什 / 威廉·达福 / 娜塔莉·波特曼,137693,8.3,法国/列支敦士登/瑞士,21世纪00年代
18,源代码 Source Code,科幻 / 悬疑 / 惊悚,邓肯·琼斯,杰克·吉伦哈尔 / 维拉·法米加 / 米歇尔·莫纳汉,660412,8.5,美国/加拿大,21世纪10年代
19,蓝白红三部曲之白 Trois couleurs: Blanc,喜剧 / 剧情 / 悬疑 / 爱情,克日什托夫·基耶斯洛夫斯基,泽比纽·扎马洲斯基 / 朱莉·德尔佩 / 扬努斯·加约斯,81282,8.4,法国/波兰/瑞士,20世纪90年代
20,放大 Blow-Up,剧情 / 悬疑 / 惊悚,米开朗基罗·安东尼奥尼,瓦妮莎·雷德格瑞夫 / 莎拉·米尔斯 / 戴维·海明斯,32392,8.5,英国/意大利/美国,20世纪60年代
21,极地恋人 Los amantes del Círculo Polar,剧情 / 悬疑 / 爱情,胡里奥·密谭,纳瓦·尼姆利 / 费雷·马丁内兹 / 南乔·诺沃,11353,8.3,西班牙/法国,20世纪90年代
22,狗脸的岁月 Mitt liv som hund,剧情 / 喜剧,拉斯·霍尔斯道姆,安东·格兰泽柳斯 / 托马斯·冯·布罗姆森 / 安琪·丽登,14897,8.5,瑞典,20世纪80年代
23,海鸥食堂 かもめ食堂,喜剧 / 剧情,荻上直子,小林聪美 / 片桐入 / 罇真佐子,55582,8.3,日本,21世纪00年代
24,资产阶级的审慎魅力 Le charme discret de la bourgeoisie,喜剧 / 剧情 / 奇幻,路易斯·布努埃尔,费尔南多·雷伊 / 保罗·弗朗克尔 / 德菲因·塞里格,20738,8.2,法国,20世纪70年代
25,生命因你动听 Mr. Holland's Opus,剧情 / 音乐,斯蒂芬·赫瑞克,理查德·德莱福斯 / 格伦妮·海德利 / 杰·托马斯,5683,8.5,美国,20世纪90年代
26,逍遥骑士 Easy Rider,剧情 / 冒险,丹尼斯·霍珀,彼得·方达 / 丹尼斯·霍珀 / 杰克·尼科尔森,18658,8.3,美国,20世纪60年代
27,蓝色大门 藍色大門,剧情 / 爱情 / 同性,易智言,陈柏霖 / 桂纶镁 / 梁又琳,354940,8.3,中国台湾/法国,21世纪00年代
28,我曾侍候过英国国王 Obsluhoval jsem anglického krále,喜剧 / 剧情 / 爱情 / 战争,伊日·门泽尔,伊万·博尔内夫 / 奥德里奇•凯瑟 / 尤莉亚·延奇,12884,8.3,捷克/捷克斯洛伐克,21世纪00年代
29,英国病人 The English Patient,爱情 / 剧情 / 战争,安东尼·明格拉,拉尔夫·费因斯 / 朱丽叶·比诺什 / 威廉·达福,241495,8.5,美国/英国,20世纪90年代
30,阿飞正传 阿飛正傳,犯罪 / 剧情 / 爱情,王家卫,张国荣 / 张曼玉 / 刘嘉玲,397350,8.5,中国香港,20世纪90年代
31,出租车司机 Taxi Driver,剧情 / 犯罪,马丁·斯科塞斯,罗伯特·德尼罗 / 朱迪·福斯特 / 斯碧尔·谢波德,163958,8.5,美国,20世纪70年代
32,盗火线 Heat,剧情 / 动作 / 犯罪 / 惊悚,迈克尔·曼,阿尔·帕西诺 / 罗伯特·德尼罗 / 方·基默,97049,8.5,美国,20世纪90年代
33,偷拐抢骗 Snatch,喜剧 / 犯罪,盖·里奇,本尼西奥·德尔·托罗 / 丹尼斯·法里纳 / 维尼·琼斯,164041,8.5,英国/美国,21世纪00年代
34,暗花,犯罪 / 悬疑,游达志,刘青云 / 梁朝伟 / 邵美琪,77541,8.4,中国香港,20世纪90年代
35,尼罗河上的惨案 Death on the Nile,剧情 / 犯罪 / 悬疑,约翰·吉勒明,彼得·乌斯蒂诺夫 / 简·伯金 / 洛伊丝·奇利斯,83239,8.5,英国,20世纪70年代
36,坏孩子的天空 キッズ・リターン,剧情 / 犯罪 / 运动,北野武,金子贤 / 安藤政信 / 森本治行,77334,8.5,日本,20世纪90年代
37,铁皮鼓 Die Blechtrommel,剧情 / 历史 / 战争,沃尔克·施隆多夫,马里奥·阿多夫 / 安吉拉·温科勒 / 大卫·本奈特,46446,8.3,西德/波兰/法国/南斯拉夫,20世纪70年代
38,茜茜公主2 Sissi - Die junge Kaiserin,剧情 / 历史 / 爱情,恩斯特·马里施卡,罗密·施奈德 / 卡尔海因茨·伯姆 / 玛格达·施奈德,34043,8.4,奥地利,20世纪50年代
39,茜茜公主3 Sissi - Schicksalsjahre einer Kaiserin,剧情 / 历史 / 爱情,恩斯特·马里施卡,罗密·施奈德 / 卡尔海因茨·伯姆 / 玛格达·施奈德,28009,8.4,奥地利,20世纪50年代
40,愤怒的公牛 Raging Bull,剧情 / 传记 / 运动,马丁·斯科塞斯,罗伯特·德尼罗 / 凯西·莫拉蒂 / 乔·佩西,44785,8.4,美国,20世纪80年代
