,电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代,图片
0,肖申克的救赎 The Shawshank Redemption,犯罪 / 剧情,弗兰克·德拉邦特,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿,2343328,9.7,美国,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
1,霸王别姬,剧情 / 爱情 / 同性,陈凯歌,张国荣 / 张丰毅 / 巩俐,1743171,9.6,中国大陆/中国香港,20世纪90年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
2,控方证人 Witness for the Prosecution,剧情 / 犯罪 / 悬疑,比利·怀德,泰隆·鲍华 / 玛琳·黛德丽 / 查尔斯·劳顿,365569,9.6,美国,20世纪50年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg
3,阿甘正传 Forrest Gump,剧情 / 爱情,罗伯特·泽米吉斯,汤姆·汉克斯 / 罗宾·怀特 / 加里·西尼斯,1764524,9.5,美国,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg
4,美丽人生 La vita è bella,剧情 / 喜剧 / 爱情 / 战争,罗伯托·贝尼尼,罗伯托·贝尼尼 / 尼可莱塔·布拉斯基 / 乔治·坎塔里尼,1086267,9.5,意大利,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg
5,辛德勒的名单 Schindler's List,剧情 / 历史 / 战争,史蒂文·斯皮尔伯格,连姆·尼森 / 本·金斯利 / 拉尔夫·费因斯,900953,9.5,美国,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
6,这个杀手不太冷 Léon,剧情 / 动作 / 犯罪,吕克·贝松,让·雷诺 / 娜塔莉·波特曼 / 加里·奥德曼,1940098,9.4,法国/美国,20世纪90年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
7,十二怒汉 12 Angry Men,剧情,西德尼·吕美特,亨利·方达 / 马丁·鲍尔萨姆 / 约翰·菲德勒,377697,9.4,美国,20世纪50年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
8,灿烂人生 La meglio gioventù,剧情 / 爱情 / 家庭,马可·图利奥·吉奥达纳,路易吉·洛·卡肖 / 阿莱西奥·博尼 / 索尼娅·贝加马斯科,51396,9.4,意大利,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1643917533.jpg
9,盗梦空间 Inception,剧情 / 科幻 / 悬疑 / 冒险,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥 / 约瑟夫·高登-莱维特 / 艾利奥特·佩吉,1704739,9.3,美国/英国,21世纪10年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2616355133.jpg
