,电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代,图片
0,那天妈妈来看我 那天媽媽來看我,剧情 / 同性 / 家庭,郭春晖,白冰冰 / 吴慷仁 / 王瞳,2112,8.1,中国台湾,21世纪10年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2219113072.jpg
1,打开心世界 The World to Come,剧情 / 爱情 / 同性,莫娜·法斯特欧德,凯瑟琳·沃特斯顿 / 凡妮莎·柯比 / 克里斯托弗·阿波特,16147,8.2,美国,21世纪20年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2632936000.jpg
2,骗徒臭事多 Dirty Rotten Scoundrels,喜剧 / 犯罪,弗兰克·奥兹,史蒂夫·马丁 / 迈克尔·凯恩 / 格伦妮·海德利,6125,8.2,美国,20世纪80年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1096752980.jpg
3,X圣治 CURE キュア,犯罪 / 恐怖 / 悬疑 / 惊悚,黑泽清,役所广司 / 萩原圣人 / 氏木毅,9876,8.2,日本,20世纪90年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2247111234.jpg
4,亲爱的同志 Дорогие товарищи,剧情 / 历史,安德烈·康查洛夫斯基,朱莉娅·维斯托斯卡亚 / 弗拉迪斯拉夫·科马罗夫 / Andrey Gusev,16810,8.5,俄罗斯,21世纪20年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2630627669.jpg
5,壁花少年 The Perks of Being a Wallflower,剧情 / 爱情,斯蒂芬·卓博斯基,罗根·勒曼 / 艾玛·沃森 / 埃兹拉·米勒,176907,8.0,美国,21世纪10年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1682183756.jpg
6,秘密特工 The Man from U.N.C.L.E.,喜剧 / 动作 / 冒险,盖·里奇,亨利·卡维尔 / 艾米·汉莫 / 艾丽西亚·维坎德,133321,8.1,美国/英国,21世纪10年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2251290212.jpg
7,我是谁：没有绝对安全的系统 Who Am I - Kein System ist sicher,犯罪 / 悬疑 / 惊悚,巴伦·博·欧达尔,汤姆·希林 / 埃利亚斯·穆巴里克 / 沃坦·维尔克·默林,176211,8.2,德国,21世纪10年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2201518484.jpg
8,无间道3：终极无间 無間道III 終極無間,剧情 / 犯罪 / 惊悚,刘伟强 / 麦兆辉,梁朝伟 / 刘德华 / 黎明,265386,8.1,中国大陆/中国香港,21世纪00年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2527603461.jpg
9,刀,剧情 / 动作 / 武侠,徐克,赵文卓 / 熊欣欣 / 桑妮,33602,8.1,中国香港/中国大陆,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2165557623.jpg
10,小妇人 Little Women,剧情 / 爱情,格蕾塔·葛韦格,西尔莎·罗南 / 艾玛·沃森 / 弗洛伦丝·皮尤,358240,8.1,美国,21世纪10年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2572813215.jpg
11,碟中谍6：全面瓦解 Mission: Impossible - Fallout,动作 / 惊悚 / 冒险,克里斯托弗·麦奎里,汤姆·克鲁斯 / 亨利·卡维尔 / 文·瑞姆斯,459201,8.1,美国/中国大陆/法国/挪威/英国,21世纪10年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2529365085.jpg
12,碟中谍 Mission: Impossible,动作 / 冒险 / 惊悚,布莱恩·德·帕尔玛,汤姆·克鲁斯 / 强·沃特 / 艾曼纽·贝阿,219867,8.2,美国,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1660124103.jpg
13,狼少年 늑대소년,爱情 / 奇幻,赵圣熙,宋仲基 / 朴宝英 / 柳演锡,206775,8.0,韩国,21世纪10年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2159648145.jpg
14,滚烫的爱 湯を沸かすほどの熱い愛,剧情 / 家庭,中野量太,宫泽理惠 / 杉咲花 / 小田切让,16869,8.0,日本,21世纪10年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2370019558.jpg
15,贵妇失踪记 The Lady Vanishes,喜剧 / 悬疑 / 惊悚,阿尔弗雷德·希区柯克,玛格丽特·洛克伍德 / 迈克尔·雷德格瑞夫 / 保罗·卢卡斯,18476,8.0,英国,20世纪30年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2155703968.jpg
16,绿光 Le rayon vert,剧情 / 爱情,埃里克·侯麦,玛丽·里维埃 / Amira Chemakhi / Sylvie Richez,22040,8.1,法国,20世纪80年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2178171016.jpg
17,马丁·伊登 Martin Eden,剧情,皮耶特罗·马切罗,卢卡·马里内利 / 杰西卡·塞西 / 文森佐·内莫拉托,11759,8.0,意大利/法国/德国,21世纪10年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578760530.jpg
18,金陵十三钗,剧情 / 历史 / 战争,张艺谋,克里斯蒂安·贝尔 / 倪妮 / 张歆怡,564489,8.2,中国大陆/中国香港,21世纪10年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1322247572.jpg
19,初恋这首情歌 Sing Street,剧情 / 爱情 / 音乐,约翰·卡尼,福迪亚·瓦尔什-匹罗 / 露西·宝通 / 杰克·莱诺,99474,8.2,爱尔兰/英国/美国,21世纪10年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2615284298.jpg
20,利刃出鞘 Knives Out,剧情 / 喜剧 / 犯罪 / 悬疑,莱恩·约翰逊,丹尼尔·克雷格 / 安娜·德·阿玛斯 / 克里斯·埃文斯,650008,8.2,美国,21世纪10年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2574172427.jpg
21,"男孩与鹈鹕 Nicostratos, le Pélican",喜剧,Olivier Horlait,弗朗索瓦-格扎维埃·德梅松 / 埃米尔·库斯图里卡,6742,8.1,法国,21世纪10年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1029880661.jpg
22,天涯海角,剧情 / 爱情,李志毅,金城武 / 陈慧琳 / 王敏德,8372,8.0,中国香港,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2544056767.jpg
23,黑暗面 La cara oculta,剧情 / 悬疑 / 惊悚,安德烈斯·拜斯,基姆·古铁雷斯 / 克拉拉·拉戈 / 玛蒂娜·加西亚,174758,8.2,哥伦比亚/西班牙,21世纪10年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1214121742.jpg
24,"诺斯费拉图 Nosferatu, eine Symphonie des Grauens",奇幻 / 恐怖,F·W·茂瑙,马科斯·夏瑞克 / 约翰·戈托特 / 格里塔·斯楚瑞德,11342,8.2,德国,20世纪20年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2204470274.jpg
25,买凶拍人 買兇拍人,犯罪 / 动作 / 喜剧,彭浩翔,葛民辉 / 张达明 / 詹瑞文,126179,8.2,中国香港,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1361412292.jpg
26,闪电奇迹 Powder,剧情 / 悬疑 / 奇幻,维克多·萨尔瓦,玛丽·斯汀伯根 / 肖恩·派特里克·弗兰纳里 / 兰斯·亨利克森,8934,8.1,美国,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p703773083.jpg
27,爱情是狗娘 Amores perros,剧情 / 惊悚,亚历杭德罗·冈萨雷斯·伊纳里图,盖尔·加西亚·贝纳尔 / Emilio Echevarría / Álvaro Guerrero,44876,8.2,墨西哥,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p627345397.jpg
28,逆光飞翔 逆光飛翔,剧情 / 爱情,张荣吉,张榕容 / 黄裕翔 / 李烈,87285,8.2,中国台湾,21世纪10年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1598751480.jpg
29,艾德·伍德 Ed Wood,传记 / 喜剧 / 剧情,蒂姆·波顿,约翰尼·德普 / 莎拉·杰茜卡·帕克 / 比尔·默瑞,24176,8.2,美国,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1704315869.jpg
30,地道战,战争,任旭东,朱龙广 / 张勇手 / 刘秀杰,56641,8.2,中国大陆,20世纪60年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551228401.jpg
31,怒火青春 La Haine,犯罪 / 剧情,马修·卡索维茨,文森特·卡索 / 哈勃·孔黛 / 萨伊德·塔格马奥,13793,8.2,法国,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2494416659.jpg
32,那些年，我们一起追的女孩 那些年，我們一起追的女孩,剧情 / 喜剧 / 爱情,九把刀,柯震东 / 陈妍希 / 敖犬,776817,8.1,中国台湾,21世纪10年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1348910586.jpg
33,神秘列车 Mystery Train,喜剧 / 犯罪 / 剧情,吉姆·贾木许,永濑正敏 / 工藤夕贵 / 茱迪·马克尔,11702,8.2,日本/美国,20世纪80年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p459490157.jpg
34,亚特兰蒂斯之心 Hearts in Atlantis,剧情 / 悬疑,斯科特·希克斯,安东尼·霍普金斯 / 安东·叶利钦 / 霍普·戴维斯,7824,8.1,美国/澳大利亚,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1420011408.jpg
35,眼镜 めがね,喜剧 / 剧情,荻上直子,小林聪美 / 加濑亮 / 市川实日子,9174,8.1,日本,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p508630582.jpg
36,半斤八两 半斤八兩,喜剧,许冠文,许冠文 / 许冠杰 / 许冠英,21134,8.2,中国香港,20世纪70年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1606347997.jpg
