,电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代,图片
0,罪恶之城 Sin City,动作 / 犯罪 / 惊悚,弗兰克·米勒 / 罗伯特·罗德里格兹 / 昆汀·塔伦蒂诺,杰西卡·阿尔芭 / 布鲁斯·威利斯 / 克莱夫·欧文,175453,8.4,美国,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2173716829.jpg
1,扒手 Pickpocket,剧情 / 犯罪,罗伯特·布列松,马丁·拉萨尔 / 玛莉卡·格林 / Jean Pélégri,14703,8.3,法国,20世纪50年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1716876999.jpg
2,迫在眉梢 John Q,剧情 / 惊悚 / 家庭 / 犯罪,尼克·卡萨维蒂,丹泽尔·华盛顿 / Gabriela Oltean / 金伯莉·伊丽丝,40455,8.5,美国,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2174974798.jpg
3,危情十日 Misery,剧情 / 犯罪 / 惊悚,罗伯·莱纳,詹姆斯·肯恩 / 凯西·贝茨 / 理查德·法恩斯沃斯,54646,8.4,美国,20世纪90年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1217959104.jpg
4,冥王星早餐 Breakfast on Pluto,喜剧 / 剧情,尼尔·乔丹,基里安·墨菲 / 摩根·琼斯 / 伊娃·柏西斯托,11880,8.3,爱尔兰/英国,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p788528406.jpg
5,桃姐,剧情 / 家庭,许鞍华,叶德娴 / 刘德华 / 秦海璐,276152,8.3,中国香港,21世纪10年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1455206048.jpg
6,英伦性丑闻 A Very British Sex Scandal,剧情 / 同性,Patrick Reams,尼古拉斯·勒·普雷沃斯特 / 哈莉特·伊斯特科特 / 萨姆·修汉,2513,8.5,英国,21世纪00年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2515510470.jpg
7,虎兄虎弟 Deux frères,剧情 / 冒险,让-雅克·阿诺,盖·皮尔斯 / 让-克洛德·德雷菲斯 / 弗莱迪·海默,24238,8.6,法国/英国,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p817094477.jpg
8,登堂入室 Dans la maison,剧情 / 悬疑,弗朗索瓦·欧容,法布莱斯·鲁奇尼 / 恩斯特·吴默埃 / 克里斯汀·斯科特·托马斯,125175,8.5,法国,21世纪10年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1581587840.jpg
9,爱在暹罗 รักแห่งสยาม,剧情 / 爱情 / 同性,楚克·萨克瑞科,维特维斯特·海伦亚沃恩酷 / 马里奥·毛瑞尔 / 赖拉·邦雅淑,278776,8.3,泰国,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1024585648.jpg
10,美食家 L'aile ou la cuisse,喜剧,克洛德·齐迪,路易·德·菲奈斯 / 科鲁彻 / 克洛德·让萨克,8216,8.3,法国,20世纪70年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2164361020.jpg
11,缺席的人 The Man Who Wasn't There,剧情 / 犯罪,乔尔·科恩,比利·鲍伯·松顿 / 弗兰西斯·麦克多蒙德 / 迈克尔·巴达鲁科,21593,8.3,美国/英国,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2363366612.jpg
12,海蒂 Heidi,家庭 / 剧情,艾伦·德万,秀兰·邓波儿 / 琪恩·汉旭特 / 阿瑟·特雷彻,6335,8.5,美国,20世纪30年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2243627008.jpg
13,不可饶恕 Unforgiven,剧情 / 西部,克林特·伊斯特伍德,克林特·伊斯特伍德 / 吉恩·哈克曼 / 摩根·弗里曼,57995,8.5,美国,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1083392613.jpg
14,摔角王 The Wrestler,剧情 / 传记 / 运动,达伦·阿伦诺夫斯基,米基·洛克 / 玛丽莎·托梅 / 埃文·蕾切尔·伍德,39857,8.3,美国/法国,21世纪00年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508065161.jpg
15,换子疑云 Changeling,剧情 / 悬疑 / 惊悚,克林特·伊斯特伍德,安吉丽娜·朱莉 / 盖特林·格里菲斯 / 米歇尔·冈,143121,8.4,美国,21世纪00年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p794207971.jpg
16,细路祥 細路祥,剧情,陈果,姚月明 / 麦惠芬 / 麦雪雯,13488,8.5,中国香港,20世纪90年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1889086570.jpg
17,"巴黎，我爱你 Paris, je t'aime",剧情 / 喜剧 / 爱情,奥利维耶·阿萨亚斯 / 伊桑·科恩 / 乔尔·科恩 / 格斯·范·桑特 / 汤姆·提克威 / 沃尔特·塞勒斯 / 亚历山大·佩恩 / 杜可风 / 热拉尔·德帕迪约 / 阿方索·卡隆 / 诹访敦彦 / 希尔万·肖默 / 韦斯·克雷文 / 伊莎贝尔·科赛特 / 顾伦德·查达哈 / 文森佐·纳塔利,朱丽叶·比诺什 / 威廉·达福 / 娜塔莉·波特曼,138315,8.3,法国/列支敦士登/瑞士,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1762258035.jpg
18,源代码 Source Code,科幻 / 悬疑 / 惊悚,邓肯·琼斯,杰克·吉伦哈尔 / 维拉·法米加 / 米歇尔·莫纳汉,677014,8.5,美国/加拿大,21世纪10年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg
19,蓝白红三部曲之白 Trois couleurs: Blanc,喜剧 / 剧情 / 悬疑 / 爱情,克日什托夫·基耶斯洛夫斯基,泽比纽·扎马洲斯基 / 朱莉·德尔佩 / 扬努斯·加约斯,82922,8.4,法国/波兰/瑞士,20世纪90年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1604838524.jpg
20,放大 Blow-Up,剧情 / 悬疑 / 惊悚,米开朗基罗·安东尼奥尼,瓦妮莎·雷德格雷夫 / 莎拉·米尔斯 / 戴维·海明斯,33734,8.5,英国/意大利/美国,20世纪60年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p548426395.jpg
21,极地恋人 Los amantes del Círculo Polar,剧情 / 悬疑 / 爱情,胡里奥·密谭,纳瓦·尼姆利 / 费雷·马丁内兹 / 南乔·诺沃,11506,8.2,西班牙/法国,20世纪90年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p917899915.jpg
22,狗脸的岁月 Mitt liv som hund,剧情 / 喜剧,拉斯·霍尔斯道姆,安东·格兰泽柳斯 / 托马斯·冯·布罗姆森 / 安琪·丽登,15082,8.5,瑞典,20世纪80年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2193057444.jpg
