用户,是否看过,评分,评论时间,有用数,评论
Leann,看过,力荐,2018-06-15 19:11:59,54,腕龙站在码头跟我告白时，我哭了。
qw0aszx,看过,较差,2018-06-15 18:14:42,44,实在是大失望，连系列应有的刺激都没了，导演的风格展现也仅存于恐龙夜入古堡抓小女孩那一段，高布伦的戏份甚至怀疑是专门为了预告片补拍的。最可恶的是，给小女孩安了个非常聪明的设定，结果压根不怎么用直接浪费了。5.0分★★☆
七七,看过,推荐,2018-06-16 23:18:26,32,这特效没得说666。让恐龙活在梦里想象中就行，可别脑袋发热去复活
孤岛影者,看过,较差,2018-11-25 07:38:39,0,"两星半。“生命不能被控制，生命会挣脱枷锁，生命会找到出路。”
系列首部重在对公园系列的致敬与特效，而此作则重在诙谐与特效，副标题“失落的王国”还是换汤不换药，与“失落的世界”以及它的发展都极为相似。小孩的出现将电影推为惊悚恐怖片又内含哲学，但这反派阴谋以及全剧情也太套路了吧？唯一亮点在岛屿离别与结局抉择。"
肖恩恩恩恩肖,看过,推荐,2018-06-16 23:17:09,12,蛮好看的啊……为什么总有很多人觉得电影探讨了什么就是在宣扬什么？
爱追剧的小可爱,看过,推荐,2018-06-23 22:40:49,12,总体感觉还不错，特效很逼真，布鲁太可爱了还有那只到处撞的恐龙，目测有第三部期待一下
二月桃花五月榴,看过,推荐,2018-06-18 21:19:44,29,可能泪点低，看到岛上那只没上船哀嚎着化为灰烬时居然没忍住泪……还有那只撞墙的好萌，好几只恐龙我都好喜欢，第三部会继续支持的
基瑞尔,看过,较差,2018-06-15 17:32:57,38,这一部又臭又长，随处可见的剧情bug（尤其是后半段）还有一环又一环（且一惊一乍）的攻击。但结尾提出来的命题以及世界观的改写还是对第三部抱有一丝期待。最重要是还我上一部可爱的俩侄子！（尤其是Nick）
江湖骗子队队长,看过,还行,2018-06-17 23:20:35,33,emmmmm不知道给什么评价好，比第一部更适合孩子看，如此老套的剧情，也就特效还不错。遇到危险不是跑，先在那啊啊啊啊的叫唤。这三年都干嘛了？不论是政府还是主角，都是临到火山爆发才去做点什么。为了配合老爸，看的国语的，切身感受到了所谓配音不贴脸有多么的出戏。谁说外国人全都演技好的？
东篱,看过,还行,2018-06-17 08:47:00,27,特效挺好的，只是没有第一部好看了，勉勉强强三颗星吧！有点失望。
甜菜君,看过,力荐,2018-06-16 00:31:50,57,恐龙吃人时影院里一片欢声笑语
胸口碎大石,看过,力荐,2018-06-15 12:10:29,30,音乐与摄像都非常棒！看了片头我就知道，无论好莱坞制造多少怪物，都不及这史前的一吼震撼人心！！！
一城如花半倚石,看过,还行,2018-06-18 14:11:37,21,有佳句无佳章，也就泯然众人矣。
菩提花开,看过,还行,2018-06-15 12:46:40,20,侏罗纪世界主题公园及豪华度假村被失控的恐龙们摧毁已有三年。如今，纳布拉尔岛已经被人类遗弃，岛上幸存的恐龙们在丛林中自给自足。当岛上的休眠火山开始活跃以后，欧文与克莱尔发起了一场运动，想要保护岛上幸存的恐龙们免于灭绝。
closer,看过,较差,2018-06-07 06:48:54,57,恐龙是这部电影中唯一有那么一丢丢智商的动物，鉴定完毕。
胤祥,看过,还行,2018-07-30 03:54:28,3,从头开始就是大的最后一分钟营救套小的最后一分钟营救……人物驱动（基本克里斯·帕特拉在大片里已经被定型了吧）。后面大半部用了House电影的类型套路还是有点意思。反派还是太愚蠢了点……
古戈,看过,力荐,2018-06-18 16:30:22,15,老套路，但是完成度很高的近乎完美的工业品。影片生动地展示了什么叫做为了自己的爱，同情和正义可以让无辜的人承受危险的白左。
汤甜的氵,看过,力荐,2019-01-10 01:27:46,0,我看看是哪个傻逼因为妇联来这里恶意刷低星骂帕帕 脑子有陨坑
青 天大老爷,看过,还行,2018-06-15 23:26:50,18,特效OK，剧情。。。
大奇特(Grinch),看过,较差,2018-06-14 16:04:01,25,《迷失世界》的新瓶装老酒，包装成了哥特恐怖片，运用了一些表现主义元素，不过整体还是太平庸了。个别段落的设计甚至还在沿用上一集的成功模式，缺乏创意，人类角色也无火花。
六十六个猴,看过,还行,2018-06-17 13:50:44,8,在活火山岛上建极其昂贵的公园，这个电影一开头就已经没逻辑了。【小女孩跑得贼快，而且脑子不大对头，可能融合了恐龙基因，是小龙人。【blue说不许打我爸爸。
媛媛,看过,推荐,2018-06-17 22:53:35,16,这一部惊悚场面更多了，剧情不喜欢。团灭的节奏，太贪婪的人类下场都不会太好！素食恐龙还是萌萌哒很很可爱！
李九弟Jody,看过,推荐,2018-06-15 15:21:38,19,"7分。
关键词是“门”。
从开头参议员“我们在灾难门前”，到女主出场被门卡住，中程进入并打破无数道门隔开的密闭空间，到结尾再生恐龙彻底进入人类世界。基因改造生物融合的大门已无法关闭。人类会成为上帝吗？这部多了哲思，但没高潮。倒是期待下部。
学生物的同学忍一忍，离2099仅剩81年！"
黄悦_,看过,还行,2018-06-14 10:58:48,10,看到火山熔岩快要把长颈龙淹没 还有最后毒气落到最下层快要毒死它们的时候 心里好难过…
尽欢,看过,力荐,2018-06-19 16:55:43,27,恐龙看的很刺激。已经够了。
阿伦和饭师傅,看过,还行,2018-06-06 05:50:10,19,古堡惊情啊。 IMAX效果很好。 雷龙就是用来煽情的，每集都是雷龙最可怜，死得最早。
九命猫@victor-eyes,看过,推荐,2018-06-12 22:26:18,13,提前半个来月看的，保密期已过。女主没上部出彩。推荐给喜欢《闪灵》的人。看完你们会感觉布鲁龙龙无比亲切……
七七,看过,推荐,2018-06-16 23:18:26,32,这特效没得说666。让恐龙活在梦里想象中就行，可别脑袋发热去复活
谢谢你们的鱼,看过,力荐,2018-06-15 21:13:02,7,爽炸，超越上一部，氛围感和紧张感系列最强！
二月鸟语,看过,还行,2018-06-15 02:41:28,10,6.5/10，最好看的部分还是致敬斯皮尔伯格原版的人类和迅猛龙捉迷藏&迅猛龙之战，其他部分都乏善可陈。对现在的好莱坞来讲，特效已不是重点。有意思的是价值观输出，克隆人和克隆恐龙之间的伦理问题。主创很聪明，把这个锅交给克隆人背，这一切铺垫都为了三年后的续集。但内核似乎已经渐行渐远…
阿措,看过,还行,2018-06-23 21:14:55,9,头顶一切的阿喜龙可爱，跟阿喜应该是亲戚。看恐龙们火山逃命想哭哭，电影里的恐龙逃掉了，过去真的恐龙们，一个都没逃掉。
肖恩恩恩恩肖,看过,推荐,2018-06-16 23:17:09,12,蛮好看的啊……为什么总有很多人觉得电影探讨了什么就是在宣扬什么？
安徒死,看过,还行,2018-06-15 17:56:50,13,沧龙，下一部带资进组吧，戏份太少了。
