boxDesc,movieId,movieName
311073,346210,八佰
282972,1328712,我和我的家乡
160295,1211269,姜子牙
112253,1339160,金刚川
83648,1217123,夺冠
60216,1218142,拆弹专家2
53801,1240838,除暴
51013,1279731,宠爱
50512,489894,我在时间尽头等你
50131,1218273,误杀
45623,1297973,信条
43864,461076,紧急救援
41817,1190122,叶问4：完结篇
40281,1325487,沐浴之王
33774,247294,疯狂原始人2
33459,1282401,如果声音不记得
31220,1331267,一点就到家
29423,1216053,急先锋
27807,1210778,花木兰
23670,1334342,送你一朵小红花
19484,1300668,温暖的抱抱
19196,3606,哈利·波特与魔法石
18511,1277751,赤狐书生
16217,1207337,神奇女侠1984
13601,1203734,多力特的奇幻冒险
13129,1228788,一秒钟
12524,1285581,数码宝贝：最后的进化
12188,78341,星际穿越
11337,1225854,喜宝
10607,1284594,我为你牺牲
10340,1214142,变身特工
8621,342574,地狱男爵：血皇后崛起
8351,1212263,风平浪静
7822,553231,心灵奇旅
7795,1358968,汪汪队立大功之超能救援
7086,1284572,1/2的魔法
7007,1203282,热血合唱团
6908,1243792,1917
6829,1330790,明天你是否依然爱我
6213,1298050,哆啦A梦：大雄的新恐龙
5978,1303,美丽人生
5505,1196202,天使陷落
5291,1330566,秀美人生
5216,1218159,荞麦疯长
4848,1281095,紫罗兰永恒花园 外传：永远与自动手记人偶
4762,1230199,小妇人
4752,1219754,鲨海逃生
4643,1277939,我和我的祖国
4567,1228869,半个喜剧
4554,1167118,喋血战士
4415,1220983,动物特工局
4261,1297911,我的女友是机器人
3803,247949,冰雪奇缘2
3675,1298938,熊出没·狂野大陆
3514,341890,绝地战警：疾速追击
3426,1225578,野性的呼唤
3423,1225758,末日逃生
3379,416,盗梦空间
3207,1211270,哪吒之魔童降世
2956,1346273,2019阅兵盛典
2948,1247287,死无对证
2847,1247810,月半爱丽丝
2560,345809,隐形人
2537,342485,抵达之谜
2523,1326724,天道王
2161,1299144,阿里巴巴与神灯
2113,1216140,热气球飞行家
2088,1298827,亲爱的新年好
1998,1230685,猎杀T34
1993,345810,刺猬索尼克
1905,1368394,保家卫国——抗美援朝光影纪实
1802,1277457,麦路人
1794,1336825,七号房的礼物
1771,342068,寻梦环游记
1733,443387,星球大战：天行者崛起
1711,1201272,为家而战
1704,1215300,假面饭店
1635,1241850,海兽之子
1604,1286015,宝可梦：超梦的逆袭 进化
1599,1206381,灭绝
1594,1261203,解放·终局营救
1567,1225993,雪人奇缘
1565,336813,极速车王
1510,1217249,网络凶铃
1366,1235560,白蛇：缘起
1263,1301459,海林都
1193,293,风声
1180,1281368,半条棉被
1137,1301444,妙先生
1133,1218157,乔乔的异想世界
1133,1263349,萌宠流浪记
998,1205905,未来的未来
971,246591,大鱼海棠
959,1302490,赤焰
933,1302281,奇妙王国之魔法奇缘
920,158,大话西游之大圣娶亲
906,2212,菊次郎的夏天
883,1230121,中国机长
859,344264,战狼2
840,1301478,北平会馆
834,1297995,只有芸知道
832,1217023,唐人街探案3
